Two_yr_Recidivism,Number_of_Priors,score_factor,Female,Misdemeanor,Ethnicity,Age
0,0,0,0,0,Other,Age_Above_FourtyFive
1,0,0,0,0,African_American,25-45
1,4,0,0,0,African_American,Age_Below_TwentyFive
0,0,0,0,1,Other,25-45
1,14,1,0,0,Caucasian,25-45
0,3,0,0,0,Other,25-45
0,0,0,1,1,Caucasian,25-45
0,0,0,0,0,Caucasian,25-45
1,3,1,0,1,African_American,Age_Below_TwentyFive
0,0,0,1,1,Caucasian,25-45
0,0,0,0,0,African_American,25-45
1,1,0,1,0,Caucasian,Age_Above_FourtyFive
1,7,0,0,0,African_American,25-45
0,0,0,0,1,Hispanic,25-45
0,3,1,0,0,African_American,25-45
1,6,1,0,0,Caucasian,25-45
1,5,0,0,0,Caucasian,25-45
1,13,1,0,0,African_American,Age_Above_FourtyFive
1,1,1,0,0,African_American,Age_Below_TwentyFive
1,0,0,0,1,Caucasian,25-45
0,0,0,1,0,Caucasian,Age_Below_TwentyFive
1,1,0,0,0,Hispanic,Age_Below_TwentyFive
0,1,0,0,1,Caucasian,25-45
0,0,0,0,1,Other,25-45
1,8,0,0,0,African_American,25-45
1,5,1,0,0,African_American,25-45
1,0,1,0,0,African_American,25-45
1,9,1,0,0,Caucasian,25-45
1,4,1,0,0,African_American,25-45
0,0,0,0,0,Caucasian,Age_Above_FourtyFive
1,7,0,0,0,Other,Age_Above_FourtyFive
1,4,1,1,1,Caucasian,25-45
1,1,0,0,1,Caucasian,Age_Below_TwentyFive
1,21,1,0,0,African_American,25-45
0,0,0,0,1,Caucasian,25-45
0,2,1,1,0,African_American,Age_Below_TwentyFive
0,2,0,0,1,African_American,Age_Above_FourtyFive
1,2,0,0,1,Caucasian,25-45
0,7,0,1,0,African_American,Age_Above_FourtyFive
1,0,1,0,0,African_American,25-45
1,9,1,0,1,Caucasian,25-45
1,13,1,0,0,African_American,25-45
0,0,0,0,1,Caucasian,Age_Above_FourtyFive
0,0,0,0,0,African_American,25-45
1,1,0,0,0,Caucasian,25-45
0,0,0,1,0,Other,25-45
0,15,1,0,0,African_American,25-45
1,2,0,0,0,African_American,Age_Below_TwentyFive
